rank_unknown,Annotation,locus_tag,WP,protein_id_base,UNIPROTKB,gene_symbol,product,Protein_names,prob_ensemble_with_position,prob_logreg_with_position,prob_rf_with_position,prob_xgb_with_position,prob_ensemble_mean_no_position,prob_logreg_no_position,prob_rf_no_position,prob_xgb_no_position,Gene length,Prob_per_len,Prob_per_kb,chromosome_region_start,chromosome_region_end,filamentous_diazotroph_hits,non_diazotroph_hits,Cyanothece_%ID,diazo_hit_count,diazo_hit_frac,diazo_mean_pident,nondiazo_hit_frac,nondiazo_mean_pident,diazo_minus_nondiazo_mean_pident,has_cyanothece_51142_hit,has_nondiazo_hit_80pct,Cyanothece_Prot,Gloeothece_Prot,anabaena_variabilis_atcc29413__Prot,anabaena_variabilis_atcc29413__pident,anabaena_variabilis_atcc29413__evalue,arthrospira_maxima_cs-328__Prot,arthrospira_maxima_cs-328__pident,arthrospira_maxima_cs-328__evalue,crocosphaera_watsonii_wh8501__Prot,crocosphaera_watsonii_wh8501__pident,crocosphaera_watsonii_wh8501__evalue,cyanothece_sp_atcc51142__Prot,cyanothece_sp_atcc51142__pident,cyanothece_sp_atcc51142__evalue,gloeothece_sp_6803__Prot,gloeothece_sp_6803__pident,gloeothece_sp_6803__evalue,nostoc_azollae_0708__Prot,nostoc_azollae_0708__pident,nostoc_azollae_0708__evalue,nostoc_punctiforme_pcc73102__Prot,nostoc_punctiforme_pcc73102__pident,nostoc_punctiforme_pcc73102__evalue,synechococcus_elongatus_pcc7942__Prot,synechococcus_elongatus_pcc7942__pident,synechococcus_elongatus_pcc7942__evalue
816,alr1074,PCC7120DELTA_RS07225,WP_044520808.1,WP_044520808,,PCC7120DELTA_RS07225,Uma2 family endonuclease,,0.323361225,0.570157307,0.214374741,0.18555163,0.631755343,0.669824688,0.481948263,0.7434931,760,0.000425475,0.425475297,1257406,1258166,1.0,0.0,0.0,1,0.125,93.532,0.0,,,0.0,0.0,,,tr|Q3M6K8|Q3M6K8_TRIV2,93.532,1.47e-130,,,,,,,,,,,,,,,,,,,,,
817,alr3525,PCC7120DELTA_RS19345,WP_010997675.1,WP_010997675,Q8YRC3,PCC7120DELTA_RS19345,AIR synthase related protein,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase),0.323272772,0.133881434,0.389418819,0.44651806,0.314091855,0.111618046,0.307038881,0.52361864,1378,0.000234596,0.234595626,4247274,4248652,1.0,0.0,0.0,1,0.125,98.148,0.0,,,0.0,0.0,,,tr|Q3M865|Q3M865_TRIV2,98.148,0.0,,,,,,,,,,,,,,,,,,,,,
818,all3781,PCC7120DELTA_RS20620,WP_010997922.1,WP_010997922,Q8YQN9,PCC7120DELTA_RS20620,hypothetical protein,All3781 protein,0.323213793,0.60112128,0.158168378,0.21035172,0.494643605,0.588605242,0.413238497,0.48208708,559,0.0005782,0.578199987,4568648,4569207,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
819,all5112,PCC7120DELTA_RS27110,WP_044522495.1,WP_044522495,,PCC7120DELTA_RS27110,beta strand repeat-containing protein,,0.323112531,0.632077399,0.08536107,0.25189912,0.373421383,0.553537793,0.226996897,0.33972946,2602,0.000124179,0.124178528,6100477,6103079,1.0,0.0,0.0,1,0.125,85.938,0.0,,,0.0,0.0,,,tr|Q3MAL7|Q3MAL7_TRIV2,85.938,0.0,,,,,,,,,,,,,,,,,,,,,
820,all2316,PCC7120DELTA_RS13425,WP_010996472.1,WP_010996472,Q8YUM4,PCC7120DELTA_RS13425,aldo/keto reductase,Aldo/keto reductase,0.322527953,0.340653134,0.251475673,0.37545505,0.414260208,0.437520186,0.397361743,0.4078987,955,0.000337726,0.337725605,2790869,2791824,2.0,0.0,0.0,4,0.5,82.9225,0.0,,,0.0,0.0,,tr|B7KG52|B7KG52_GLOC7,tr|Q3MGX6|Q3MGX6_TRIV2,97.183,0.0,,,,,,,,,,tr|B7KG52|B7KG52_GLOC7,74.296,5.81e-163,,,,WP_012411766.1,85.915,0.0,,,
821,asl5170,PCC7120DELTA_RS27410,WP_010999294.1,WP_010999294,Q8YLX6,PCC7120DELTA_RS27410,Mo-dependent nitrogenase C-terminal domain-containing protein,Asl5170 protein,0.322518599,0.692129679,0.119262051,0.15616407,0.3277915,0.625395461,0.147998745,0.2099803,397,0.000812389,0.812389417,6167610,6168007,1.0,0.0,0.0,1,0.125,95.918,0.0,,,0.0,0.0,,,tr|Q3MAF2|Q3MAF2_TRIV2,95.918,1.85e-67,,,,,,,,,,,,,,,,,,,,,
822,all1811,PCC7120DELTA_RS10835,WP_010995979.1,WP_010995979,Q8YW05,glpK,glycerol kinase GlpK,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK),0.32251665,0.868360013,0.043205154,0.055984784,0.356288974,0.92529711,0.052893394,0.09067642,1603,0.000201196,0.201195665,2176666,2178269,2.0,2.0,64.881,4,0.5,77.497,1.0,65.142,12.355,0.0,0.0,tr|B1WSZ4|B1WSZ4_CROS5,,sp|Q3M3M2|GLPK_TRIV2,97.6,0.0,tr|B5W3L8|B5W3L8_LIMMA,66.667,0.0,,,,tr|B1WSZ4|B1WSZ4_CROS5,64.881,0.0,,,,,,,WP_012408271.1,82.626,0.0,sp|P74260|GLPK_SYNY3,63.617,0.0
823,all3697,,,,,,,,0.322186503,0.615513736,0.177831724,0.17321405,0.492277802,0.606153105,0.357160895,0.5135194,937,0.000343849,0.343848989,4464077,4465014,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
824,asl4971,,,,,,,,0.321904617,0.667975291,0.131678455,0.1660601,0.358430403,0.601821641,0.178139611,0.29532996,253,0.00127235,1.272350266,5935506,5935759,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
825,all2801,PCC7120DELTA_RS15770,WP_010996952.1,WP_010996952,Q8YTC1,PCC7120DELTA_RS15770,spondin domain-containing protein,All2801 protein,0.321678549,0.659287046,0.15935156,0.14639704,0.416217723,0.66394315,0.177497492,0.40721253,988,0.000325586,0.325585575,3407525,3408513,0.0,0.0,35.238,5,0.625,36.1696,0.0,,,0.0,0.0,tr|B1WUF3|B1WUF3_CROS5,tr|B7K6X3|B7K6X3_GLOC7,,,,,,,tr|Q4C538|Q4C538_CROWT,37.582,7.61e-39,tr|B1WUF3|B1WUF3_CROS5,35.238,2.13e-40,tr|B7K6X3|B7K6X3_GLOC7,36.395,1.13e-37,,,,,,,,,
826,all0915,PCC7120DELTA_RS06435,WP_010995089.1,WP_010995089,Q8YYD5,PCC7120DELTA_RS06435,glycosyltransferase family 2 protein,All0915 protein,0.3215961,0.56908657,0.13228544,0.2634163,0.499451433,0.681788099,0.339476765,0.47708943,1006,0.000319678,0.319678032,1058946,1059952,0.0,0.0,0.0,2,0.25,56.61,0.0,,,0.0,0.0,,tr|B7KLJ7|B7KLJ7_GLOC7,,,,,,,,,,,,,tr|B7KLJ7|B7KLJ7_GLOC7,56.61,8.98e-111,,,,,,,,,
827,all3766,PCC7120DELTA_RS20545,WP_010997907.1,WP_010997907,Q8YQQ3,PCC7120DELTA_RS20545,response regulator,Two-component response regulator,0.321586315,0.66513979,0.166380555,0.1332386,0.300662561,0.648896719,0.097229287,0.15586168,532,0.000604486,0.604485554,4552854,4553386,1.0,0.0,0.0,3,0.375,77.85566667,0.0,,,0.0,0.0,,tr|B7K8A4|B7K8A4_GLOC7,tr|Q3MCV3|Q3MCV3_TRIV2,95.105,6.48e-100,,,,,,,,,,tr|B7K8A4|B7K8A4_GLOC7,69.231,2.28e-70,,,,,,,,,
828,alr0693,PCC7120DELTA_RS05360,WP_010994868.1,WP_010994868,Q8YYZ8,PCC7120DELTA_RS05360,hypothetical protein,Alr0693 protein,0.321530994,0.662167005,0.147854876,0.1545711,0.629585026,0.768462807,0.505939808,0.61435246,1273,0.000252577,0.252577372,799163,800436,1.0,0.0,68.085,8,1.0,73.071,0.0,,,0.0,0.0,tr|B1WV48|B1WV48_CROS5,tr|B7KCD9|B7KCD9_GLOC7,tr|Q3M488|Q3M488_TRIV2,96.923,0.0,,,,tr|Q4C4H0|Q4C4H0_CROWT,67.819,0.0,tr|B1WV48|B1WV48_CROS5,68.085,0.0,tr|B7KCD9|B7KCD9_GLOC7,64.439,0.0,tr|D7E4R7|D7E4R7_NOSA0,77.835,0.0,WP_012407171.1,76.943,0.0,,,
829,all3963,PCC7120DELTA_RS21525,WP_044523218.1,WP_044523218,,PCC7120DELTA_RS21525,LapA family protein,,0.321437913,0.650609347,0.181783086,0.1319213,0.308259241,0.623007404,0.110963886,0.19080643,418,0.00076899,0.768990223,4781956,4782374,1.0,0.0,0.0,3,0.375,75.09366667,0.0,,,0.0,0.0,,,tr|Q3MCC6|Q3MCC6_TRIV2,96.667,5.37e-57,,,,,,,,,,,,,tr|D7DVN3|D7DVN3_NOSA0,53.333,1.56e-28,WP_012412400.1,75.281,3.7400000000000003e-35,,,
830,all1725,PCC7120DELTA_RS10430,WP_010995894.1,WP_010995894,Q8YW90,PCC7120DELTA_RS10430,hypothetical protein,All1725 protein,0.321290735,0.557736584,0.120450319,0.2856853,0.379143602,0.639747041,0.141518804,0.35616496,511,0.000628749,0.628748992,2074991,2075502,1.0,0.0,0.0,2,0.25,64.2445,0.0,,,0.0,0.0,,,tr|Q3MGF2|Q3MGF2_TRIV2,93.333,5.79e-92,,,,,,,,,,,,,,,,WP_012412262.1,35.156,1.18e-17,,,
831,all5017,,,,Q8YMB7,,,All5017 protein,0.321271699,0.701755748,0.120366951,0.1416924,0.515336264,0.633511155,0.490725395,0.42177224,811,0.000396143,0.396142663,5989461,5990272,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
832,alr4559,PCC7120DELTA_RS24435,WP_010998691.1,WP_010998691,Q8YNK6,PCC7120DELTA_RS24435,WD40 repeat domain-containing protein,WD-40 repeat-protein,0.321184123,0.589849624,0.126756559,0.24694619,0.384823,0.507555639,0.234325151,0.4125882,2461,0.00013051,0.130509599,5453672,5456133,1.0,0.0,33.045,7,0.875,53.03642857,0.0,,,0.0,0.0,tr|B1X336|B1X336_CROS5,tr|B7KE61|B7KE61_GLOC7,tr|Q3MA72|Q3MA72_TRIV2,92.494,0.0,,,,,,,tr|B1X336|B1X336_CROS5,33.045,5.4099999999999994e-126,tr|B7KE61|B7KE61_GLOC7,41.845,0.0,tr|D7DWT9|D7DWT9_NOSA0,64.885,0.0,WP_012407333.1,64.096,0.0,,,
833,all2684,PCC7120DELTA_RS15205,WP_010996839.1,WP_010996839,Q8YTN1,PCC7120DELTA_RS15205,type I restriction endonuclease,type I site-specific deoxyribonuclease (EC 3.1.21.3),0.32076589,0.725596415,0.120696579,0.116004676,0.429869555,0.726033438,0.272054691,0.29152054,640,0.000501197,0.501196703,3276292,3276932,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
834,alr5301,PCC7120DELTA_RS28055,WP_010999425.1,WP_010999425,Q8YLJ7,rplA,50S ribosomal protein L1,Large ribosomal subunit protein uL1 (50S ribosomal protein L1),0.320492836,0.711502505,0.112660952,0.13731505,0.389900324,0.672481341,0.20346228,0.29375735,817,0.00039228,0.392280093,6322159,6322976,3.0,1.0,81.466,7,0.875,85.90557143,0.5,77.637,8.268571429,1.0,0.0,tr|B1X075|B1X075_CROS5,sp|B7KIR7|RL1_GLOC7,sp|Q3MA18|RL1_TRIV2,98.319,7.500000000000001e-173,,,,,,,tr|B1X075|B1X075_CROS5,81.466,3.1e-138,sp|B7KIR7|RL1_GLOC7,80.672,5.49e-141,tr|D7E2M4|D7E2M4_NOSA0,88.186,6.99e-155,WP_012412093.1,90.558,2.25e-158,sp|P36236|RL1_SYNY3,77.637,1.09e-135
835,asl4483,,,,,,,,0.320383943,0.643437944,0.137792422,0.17992146,0.471497702,0.599831295,0.345102052,0.46955976,268,0.001195462,1.195462474,5367972,5368240,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
836,all4663,PCC7120DELTA_RS24940,WP_010998794.1,WP_010998794,Q8YNA4,PCC7120DELTA_RS24940,MAPEG family protein,All4663 protein,0.32036499,0.66482831,0.129753872,0.16651279,0.447555655,0.615796799,0.356714266,0.3701559,496,0.000645897,0.645897157,5563110,5563606,2.0,0.0,0.0,2,0.25,88.625,0.0,,,0.0,0.0,,,tr|Q3MBL4|Q3MBL4_TRIV2,96.947,9.68e-88,,,,,,,,,,,,,,,,WP_012411047.1,80.303,1.22e-67,,,
837,all0419,PCC7120DELTA_RS04025,WP_044520615.1,WP_044520615,,eboC,UbiA-like protein EboC,,0.320273701,0.751295315,0.089667232,0.119858555,0.492031089,0.863962201,0.190672107,0.42145896,1012,0.000316476,0.316475989,492210,493222,0.0,0.0,56.452,5,0.625,58.269,0.0,,,0.0,0.0,tr|B1WUE8|B1WUE8_CROS5,tr|B7KHL3|B7KHL3_GLOC7,,,,,,,,,,tr|B1WUE8|B1WUE8_CROS5,56.452,1.26e-105,tr|B7KHL3|B7KHL3_GLOC7,57.285,3.9899999999999996e-94,,,,WP_041565644.1,63.871,2.65e-132,,,
838,alr3247,PCC7120DELTA_RS18005,WP_010997398.1,WP_010997398,Q8YS44,PCC7120DELTA_RS18005,hypothetical protein,Alr3247 protein,0.320213568,0.328260365,0.276651505,0.35572883,0.471931448,0.324987833,0.466500072,0.62430644,439,0.000729416,0.729415873,3923627,3924066,1.0,0.0,58.036,8,1.0,63.057875,0.0,,,0.0,0.0,tr|B1WTC5|B1WTC5_CROS5,tr|B7KKV9|B7KKV9_GLOC7,tr|Q3M3D7|Q3M3D7_TRIV2,98.214,3.8300000000000005e-79,,,,tr|Q4CB22|Q4CB22_CROWT,53.571,8.22e-45,tr|B1WTC5|B1WTC5_CROS5,58.036,2.5e-48,tr|B7KKV9|B7KKV9_GLOC7,54.464,2.0999999999999999e-41,tr|D7DW18|D7DW18_NOSA0,61.607,2.34e-50,WP_012408370.1,66.071,1.4e-57,,,
839,all0059,PCC7120DELTA_RS02270,WP_010994236.1,WP_010994236,Q8Z0N2,PCC7120DELTA_RS02270,GumC family protein,All0059 protein,0.320091859,3.76e-05,0.260912758,0.6993252,0.571662652,0.000257746,0.783235855,0.93149436,2284,0.000140145,0.140145297,63554,65838,1.0,0.0,0.0,3,0.375,69.117,0.0,,,0.0,0.0,,,tr|Q3M9R2|Q3M9R2_TRIV2,96.491,0.0,,,,,,,,,,,,,tr|D7DX71|D7DX71_NOSA0,51.023,0.0,WP_012411528.1,59.837,0.0,,,
840,all1951,PCC7120DELTA_RS11535,WP_010996115.1,WP_010996115,,urtA,urea ABC transporter substrate-binding protein,,0.320048705,0.243128885,0.160511787,0.55650544,0.407659574,0.298690909,0.375430004,0.5488578,1417,0.000225864,0.225863588,2333776,2335193,2.0,1.0,0.0,4,0.5,83.64175,0.5,71.106,12.53575,0.0,0.0,,tr|B7K8R9|B7K8R9_GLOC7,tr|Q3M4X7|Q3M4X7_TRIV2,97.489,0.0,,,,,,,,,,tr|B7K8R9|B7K8R9_GLOC7,74.26,0.0,,,,WP_012410934.1,88.558,0.0,tr|P74390|P74390_SYNY3,71.106,0.0
841,all4790,PCC7120DELTA_RS25550,WP_010998920.1,WP_010998920,Q8YMY4,PCC7120DELTA_RS25550,hypothetical protein,All4790 protein,0.320043904,0.61610297,0.154929148,0.1890996,0.374818378,0.508466228,0.279055769,0.33693314,934,0.000342659,0.342659426,5707396,5708330,1.0,1.0,36.519,8,1.0,50.565375,0.5,43.197,7.368375,0.0,0.0,tr|B1WQZ6|B1WQZ6_CROS5,tr|B7K734|B7K734_GLOC7,tr|Q3MBF5|Q3MBF5_TRIV2,95.357,0.0,tr|B5VYG1|B5VYG1_LIMMA,43.197,1.02e-77,tr|Q4C4L1|Q4C4L1_CROWT,33.981,9.88e-39,tr|B1WQZ6|B1WQZ6_CROS5,36.519,6.4e-44,tr|B7K734|B7K734_GLOC7,39.286,3.1900000000000003e-66,tr|D7DYE4|D7DYE4_NOSA0,56.908,8.74e-111,WP_012411817.1,66.667,8.53e-111,,,
842,all0434,PCC7120DELTA_RS04100,WP_010994610.1,WP_010994610,Q8YZM3,PCC7120DELTA_RS04100,hypothetical protein,All0434 protein,0.319870296,0.731752943,0.086345982,0.14151196,0.509493691,0.87722073,0.29324862,0.35801172,433,0.00073873,0.738730475,513408,513841,1.0,1.0,0.0,1,0.125,100.0,0.5,35.227,64.773,0.0,0.0,,,tr|Q3M976|Q3M976_TRIV2,100.0,5.64e-76,tr|B5W8R6|B5W8R6_LIMMA,35.227,1.48e-20,,,,,,,,,,,,,,,,,,
843,all1597,PCC7120DELTA_RS09795,WP_010995766.1,WP_010995766,Q8YWL1,PCC7120DELTA_RS09795,fatty acid desaturase,Omega-3 fatty acid desaturase,0.319704141,0.007092239,0.171881272,0.7801389,0.363521419,0.014348464,0.319893884,0.7563219,1180,0.000270936,0.270935712,1876896,1878076,2.0,1.0,66.071,6,0.75,76.4205,0.5,67.066,9.3545,0.0,0.0,tr|B1WTM1|B1WTM1_CROS5,,tr|Q3M5C7|Q3M5C7_TRIV2,96.379,0.0,,,,tr|Q4C3K1|Q4C3K1_CROWT,66.163,3.65e-171,tr|B1WTM1|B1WTM1_CROS5,66.071,6.0900000000000004e-173,,,,tr|D7E3I4|D7E3I4_NOSA0,77.247,0.0,WP_012412454.1,86.592,0.0,sp|Q79EF1|DESB_SYNY3,67.066,8.41e-175
844,alr5201,PCC7120DELTA_RS27555,WP_010999325.1,WP_010999325,Q8YLU5,PCC7120DELTA_RS27555,colanic acid biosynthesis glycosyltransferase WcaL,Glycosyltransferase,0.319635752,0.861729816,0.03338986,0.06378758,0.369484208,0.825613718,0.074042241,0.20879667,1393,0.000229459,0.229458544,6201882,6203275,0.0,0.0,42.381,2,0.25,42.381,0.0,,,0.0,0.0,tr|B1X093|B1X093_CROS5,,,,,,,,,,,tr|B1X093|B1X093_CROS5,42.381,1.71e-107,,,,,,,,,,,,
845,alr4703,PCC7120DELTA_RS25140,WP_010998834.1,WP_010998834,Q8YN67,PCC7120DELTA_RS25140,DNA repair helicase XPB,DNA 3'-5' helicase (EC 5.6.2.4),0.319602457,0.831510798,0.090207851,0.037088722,0.286989244,0.762662842,0.026790014,0.071514875,1792,0.00017835,0.178349585,5608175,5609967,0.0,0.0,0.0,1,0.125,76.396,0.0,,,0.0,0.0,,,,,,,,,tr|Q4CAV2|Q4CAV2_CROWT,76.396,0.0,,,,,,,,,,,,,,,
846,alr5240,PCC7120DELTA_RS27750,WP_010999364.1,WP_010999364,Q8YLQ6,PCC7120DELTA_RS27750,glycosyltransferase family 2 protein,Glycosyltransferase,0.319505584,0.862724146,0.032378785,0.06341382,0.301684001,0.834783638,0.004090176,0.06617819,868,0.000368094,0.368093991,6253529,6254397,0.0,0.0,0.0,2,0.25,71.373,0.0,,,0.0,0.0,,tr|B7KM35|B7KM35_GLOC7,,,,,,,,,,,,,tr|B7KM35|B7KM35_GLOC7,71.373,4.6e-142,,,,,,,,,
847,all3021,PCC7120DELTA_RS16865,WP_010997172.1,WP_010997172,Q8YSR3,PCC7120DELTA_RS16865,HPP family protein,All3021 protein,0.319445176,0.496111456,0.311992577,0.1502315,0.450901379,0.528176869,0.363936756,0.4605905,619,0.000516067,0.51606652,3663269,3663888,1.0,0.0,0.0,1,0.125,88.953,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,WP_012408804.1,88.953,1.39e-108,,,
848,alr4602,,,,,,,,0.319382297,0.784183513,0.081539359,0.09242402,0.32464483,0.710313955,0.074487442,0.1891331,1273,0.000250889,0.250889472,5499476,5500749,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
849,asr5142,PCC7120DELTA_RS27265,WP_010999268.1,WP_010999268,Q8YM00,PCC7120DELTA_RS27265,CTB family bacteriocin,Asr5142 protein,0.319056958,0.68860615,0.113345943,0.15521878,0.352579614,0.621129919,0.176215185,0.26039374,343,0.000930195,0.930195213,6137677,6138020,1.0,0.0,0.0,1,0.125,92.405,0.0,,,0.0,0.0,,,tr|Q3MAI2|Q3MAI2_TRIV2,92.405,7.819999999999999e-41,,,,,,,,,,,,,,,,,,,,,
850,alr2093,PCC7120DELTA_RS12305,WP_010996251.1,WP_010996251,Q8YV88,PCC7120DELTA_RS12305,DUF6671 family protein,Alr2093 protein,0.318977502,0.647528234,0.112257037,0.19714724,0.390376517,0.697748432,0.196648405,0.2767327,964,0.00033089,0.330889525,2506880,2507844,1.0,0.0,52.465,6,0.75,63.95616667,0.0,,,0.0,0.0,tr|B1WP10|B1WP10_CROS5,tr|B7KGS8|B7KGS8_GLOC7,tr|Q3M511|Q3M511_TRIV2,92.334,0.0,,,,,,,tr|B1WP10|B1WP10_CROS5,52.465,4.6e-114,tr|B7KGS8|B7KGS8_GLOC7,60.49,7.38e-129,tr|D7E4C7|D7E4C7_NOSA0,65.493,4.79e-141,,,,,,
851,alr0288,PCC7120DELTA_RS03400,WP_010994465.1,WP_010994465,Q8Z015,PCC7120DELTA_RS03400,HAD family hydrolase,Alr0288 protein,0.318974414,0.807820482,0.056109969,0.09299279,0.440870237,0.914140175,0.234357011,0.17411353,769,0.000414791,0.414791175,324634,325403,1.0,1.0,0.0,1,0.125,97.748,0.5,30.045,67.703,0.0,0.0,,,tr|Q3M8K3|Q3M8K3_TRIV2,97.748,4.2800000000000006e-163,tr|B5VY39|B5VY39_LIMMA,30.045,5.58e-16,,,,,,,,,,,,,,,,,,
852,asr1494,PCC7120DELTA_RS09265,WP_010995664.1,WP_010995664,Q8YWV0,PCC7120DELTA_RS09265,hypothetical protein,Asr1494 protein,0.318844013,0.497924769,0.213408813,0.24519846,0.375243731,0.604790101,0.184585585,0.3363555,349,0.000913593,0.913593161,1758665,1759014,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
853,alr5203,PCC7120DELTA_RS27565,WP_010999327.1,WP_010999327,Q8YLU3,PCC7120DELTA_RS27565,glycosyltransferase family 2 protein,Alr5203 protein,0.318791868,0.702646284,0.113395787,0.14033353,0.352337359,0.616297165,0.123986111,0.3167288,1144,0.000278664,0.27866422,6204591,6205735,0.0,0.0,0.0,2,0.25,64.526,0.0,,,0.0,0.0,,tr|B7KLJ5|B7KLJ5_GLOC7,,,,,,,,,,,,,tr|B7KLJ5|B7KLJ5_GLOC7,64.526,4.3900000000000005e-163,,,,,,,,,
854,asr5145,PCC7120DELTA_RS27280,WP_010999271.1,WP_010999271,Q8YLZ7,PCC7120DELTA_RS27280,hypothetical protein,Asr5145 protein,0.318672391,0.677109448,0.125310415,0.15359731,0.325660835,0.602598199,0.13574443,0.23863988,358,0.000890146,0.890146343,6139660,6140018,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
855,alr4488,PCC7120DELTA_RS24090,WP_010998621.1,WP_010998621,Q8YNS3,PCC7120DELTA_RS24090,glycosyltransferase,Alr4488 protein,0.318631245,0.630246732,0.207138263,0.11850874,0.518909269,0.579970201,0.537597407,0.4391602,2245,0.000141929,0.141929285,5373830,5376075,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
856,all1475,PCC7120DELTA_RS09170,WP_010995645.1,WP_010995645,,csx7,type III CRISPR-associated RAMP protein Csx7,,0.318319109,0.500199732,0.123032207,0.3317254,0.447841908,0.597971262,0.324206932,0.42134753,1027,0.00030995,0.309950447,1737677,1738704,0.0,0.0,0.0,1,0.125,59.048,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,tr|D7DY01|D7DY01_NOSA0,59.048,2.5600000000000002e-110,,,,,,
857,asl3129,,,,,,,,0.31829157,0.594426105,0.164978792,0.19546981,0.498215917,0.613798849,0.400859969,0.47998893,385,0.000826731,0.826731349,3788538,3788923,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
858,all1339,PCC7120DELTA_RS08520,WP_010995511.1,WP_010995511,Q8YX76,PCC7120DELTA_RS08520,hypothetical protein,All1339 protein,0.318159667,0.483786689,0.201196497,0.26949582,0.507206867,0.607085268,0.375752915,0.5387824,958,0.000332108,0.332108212,1590077,1591035,2.0,1.0,0.0,3,0.375,84.37466667,0.5,44.514,39.86066667,0.0,0.0,,,tr|Q3M2Y8|Q3M2Y8_TRIV2,98.947,0.0,tr|B5VVU0|B5VVU0_LIMMA,44.514,6.5e-66,,,,,,,,,,tr|D7DZA7|D7DZA7_NOSA0,69.966,8.8e-139,WP_012407575.1,84.211,9.99e-164,,,
859,alr2826,PCC7120DELTA_RS15885,WP_010996977.1,WP_010996977,,lhgO,L-2-hydroxyglutarate oxidase,,0.318115499,0.186460558,0.250833049,0.5170529,0.484733687,0.215790801,0.434703613,0.80370665,1315,0.000241913,0.241912927,3441930,3443245,3.0,1.0,71.501,6,0.75,80.1755,0.5,70.153,10.0225,0.0,0.0,tr|B1WYU5|B1WYU5_CROS5,,tr|Q3ME55|Q3ME55_TRIV2,97.277,0.0,,,,tr|Q4C0P0|Q4C0P0_CROWT,70.483,0.0,tr|B1WYU5|B1WYU5_CROS5,71.501,0.0,,,,tr|D7E1U9|D7E1U9_NOSA0,82.915,0.0,WP_012407826.1,87.376,0.0,tr|P74590|P74590_SYNY3,70.153,0.0
860,alr5198,PCC7120DELTA_RS27540,WP_231865497.1,WP_231865497,,PCC7120DELTA_RS27540,glycosyltransferase family protein,,0.318073822,0.825880393,0.037188749,0.091152325,0.348261142,0.798237409,0.080320778,0.16622524,1282,0.000248108,0.248107506,6198030,6199312,0.0,0.0,0.0,0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
861,asl0628,PCC7120DELTA_RS05055,WP_044522726.1,WP_044522726,,PCC7120DELTA_RS05055,hypothetical protein,,0.317850728,0.546361335,0.141450632,0.26574022,0.578958821,0.688392797,0.512915607,0.53556806,382,0.00083207,0.832069968,730456,730838,1.0,0.0,0.0,2,0.25,79.3805,0.0,,,0.0,0.0,,,tr|Q3M4C8|Q3M4C8_TRIV2,89.024,3.1e-52,,,,,,,,,,,,,,,,WP_012412517.1,69.737,1.15e-36,,,
862,alr3920,PCC7120DELTA_RS21300,WP_010998061.1,WP_010998061,Q8YQB3,PCC7120DELTA_RS21300,response regulator,Two-component response regulator,0.317797642,0.650202355,0.161418464,0.1417721,0.392765508,0.616188518,0.261109735,0.30099827,1345,0.000236281,0.236280775,4727046,4728391,1.0,1.0,53.035,7,0.875,63.11042857,0.5,41.401,21.70942857,0.0,0.0,tr|B1WZA1|B1WZA1_CROS5,tr|B7KIE1|B7KIE1_GLOC7,tr|Q3MC87|Q3MC87_TRIV2,96.86,0.0,,,,tr|Q4BYT5|Q4BYT5_CROWT,50.799,1.18e-110,tr|B1WZA1|B1WZA1_CROS5,53.035,3.2400000000000005e-117,tr|B7KIE1|B7KIE1_GLOC7,56.646,2.17e-133,,,,WP_012407665.1,74.752,0.0,tr|P73724|P73724_SYNY3,41.401,8.53e-84
