Annotation,ENS_PRED,Gene length,Prob_per_len,GENES,UNIPROTKB,WP,non_diazotroph_hits,diazotroph_hits,unicellular_diazotroph_hits,filamentous_diazotroph_hits,avg_group_pident,Protein_names
alr4907,0.2751964394420322,1021,0.00026953617966898354,alr4907,Q8YMM6,WP_010999033,0.0,5.0,0.0,5.0,89.21574999999999,Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)
alr4360,0.2750187155245566,1384,0.00019871294474317673,alr4360,Q8YP40,WP_010998497,,,,,,Alr4360 protein
all1237,0.274820798504812,2158,0.00012734976761112697,all1237,Q8YXH6,WP_010995409,,,,,,All1237 protein
alr4532,0.2748111599340107,1558,0.00017638713731322892,alr4532,Q8YNN2,WP_010998665,,,,,,Alr4532 protein
alr3807,0.2745405666130613,1915,0.0001433632201634785,alr3807,Q8YQL4,WP_010997948,,,,,,Alr3807 protein
asr3168,0.2744257193785635,337,0.0008143196420728888,asr3168,Q8YSC1,WP_044521654,2.0,5.0,0.0,5.0,97.475,Probable small ribosomal subunit protein cS23 (Probable 30S ribosomal protein PSRP-3) (Ycf65-like protein)
alr1492,0.2744221976083794,1558,0.00017613748241872875,alr1492,Q8YWV2,WP_010995662,,,,,,Alr1492 protein
alr2271,0.2740448991073382,616,0.00044487808296645814,alr2271,Q8YUR4,WP_010996428,,,,,,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)
alr0309,0.2739628612869829,1153,0.0002376087261812514,alr0309,Q8YZZ5,WP_010994485,,,,,,Alr0309 protein
alr4589,0.2738972438370041,697,0.00039296591655237317,alr4589,Q8YNH6,WP_010998721,,,,,,Alr4589 protein
alr0546,0.2738491907010918,1480,0.00018503323696019718,alr0546,Q8YZD1,WP_010994722,,,,,,histidine kinase (EC 2.7.13.3)
alr1247,0.2738378456797668,961,0.0002849509320288937,alr1247,Q8YXG6,WP_010995419,,,,,,Alr1247 protein
all5090,0.2732737785540963,589,0.0004639622725875998,all5090,Q8YM50,WP_010999216,,,,,,All5090 protein
all4927,0.2729890184005195,574,0.00047559062439114894,all4927,Q8YMK6,WP_010999053,,,,,,Two-component response regulator
alr4806,0.2727096499122223,1384,0.00019704454473426467,alr4806,Q8YMW8,WP_010998936,2.0,10.0,5.0,5.0,91.6275,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
alr4806,0.2727096499122223,1384,0.00019704454473426467,alr4806,D4P2J8,WP_010998936,2.0,10.0,5.0,5.0,91.6275,Serine hydroxymethyltransferase
alr4484,0.2725414047466924,826,0.00032995327451173416,alr4484,Q8YNS7,WP_010998617,,,,,,Alr4484 protein
all2080,0.2725073402545609,514,0.000530169922674243,all2080,Q8YVA1,WP_010996238,1.0,7.0,2.0,5.0,93.06575,All2080 protein
all2013,0.2724217565148134,820,0.0003322216542863578,all2013,Q8YVG5,WP_010996174,,,,,,All2013 protein
alr4787,0.2721197291549973,1633,0.00016663792354868176,alr4787,Q8YMY7,WP_010998917,,,,,,gluconokinase (EC 2.7.1.12)
asr1953,0.2718187004205288,361,0.000752960388976534,asr1953,Q8YVM2,WP_010996117,2.0,7.0,2.0,5.0,93.89525,Small ribosomal subunit protein bS16 (30S ribosomal protein S16)
alr3077,0.2717676589773468,724,0.00037536969472009223,alr3077,Q8YSK8,WP_010997228,,,,,,Alr3077 protein
alr3413,0.2716732957130155,523,0.0005194518082466835,alr3413,Q8YRN1,WP_010997563,,,,,,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)
asr1775,0.2716494268392301,367,0.0007401891739488559,asr1775,Q8YW41,WP_010995943,,,,,,Asr1775 protein
asl2061,0.2712838899863515,379,0.0007157886279323259,asl2061,Q8YVB7,WP_010996222,0.0,5.0,0.0,5.0,91.30425,Asl2061 protein
alr4447,0.27117535354938,1048,0.00025875510834864505,alr4447,Q8YNW4,WP_010998580,,,,,,Alr4447 protein
alr4852,0.2705493547249543,742,0.0003646217718665152,alr4852,Q8YMS7,WP_010998980,,,,,,Alr4852 protein
alr3980,0.2704047504884261,631,0.0004285336774776959,alr3980,Q8YQ55,WP_010998121,,,,,,Alr3980 protein
all4208,0.2702037019464498,529,0.000510782045267391,all4208,Q8YPI6,WP_010998346,3.0,10.0,5.0,5.0,96.28025,Large ribosomal subunit protein uL16 (50S ribosomal protein L16)
all5241,0.270092096023393,973,0.00027758694349783457,all5241,Q8YLQ5,WP_010999365,,,,,,All5241 protein
alr2463,0.2700339384310043,1336,0.00020212121140045233,alr2463,Q8YU91,WP_010996619,,,,,,Alr2463 protein
all5250,0.2694941390643623,1186,0.00022722945958209302,all5250,Q8YLP6,WP_010999374,,,,,,RuBisCO accumulation factor 1
alr4700,0.269473787607685,676,0.00039862986332497776,alr4700,Q8YN70,WP_010998831,0.0,5.0,0.0,5.0,87.316,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
all1601,0.2694258875158719,1294,0.00020821165959495507,all1601,P46015,WP_010995770,3.0,10.0,5.0,5.0,91.94625,Uncharacterized protein all1601
all2847,0.2693906856965394,1213,0.00022208630312987586,all2847,Q8YT79,WP_010996998,,,,,,Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase)
all1090,0.2693786864985912,1537,0.00017526264573753495,all1090,Q8YXW7,WP_010995264,,,,,,All1090 protein
asl2714,0.2692943966157184,292,0.0009222410843004055,asl2714,Q8YTK3,WP_010996867,,,,,,Asl2714 protein
asl5325,0.2692630951097836,298,0.0009035674332543073,asl5325,Q8YLH3,WP_010999449,,,,,,Asl5325 protein
all4203,0.2690811701993505,649,0.00041460889090809015,all4203,Q8YPJ1,WP_010998341,3.0,10.0,5.0,5.0,94.368,Large ribosomal subunit protein uL5 (50S ribosomal protein L5)
alr1900,0.2689684522024596,1585,0.00016969618435486408,alr1900,Q8YVS4,WP_044521120,,,,,,Phosphoglucosamine mutase (EC 5.4.2.10)
all3953,0.2683017725919948,1114,0.00024084539729981577,all3953,Q8YQ82,WP_010998094,4.0,5.0,0.0,5.0,94.0425,Probable RuBisCO transcriptional regulator
all2951,0.2682882636683912,1654,0.00016220572168584716,all2951,Q8YSX8,WP_010997102,0.0,5.0,0.0,5.0,89.16175,All2951 protein
all2069,0.2681627743760644,478,0.0005610099882344444,all2069,Q8YVB2,WP_010996227,,,,,,All2069 protein
alr3959,0.2681018697089946,781,0.00034328024290524275,alr3959,Q8YQ76,WP_010998100,,,,,,Alr3959 protein
alr4921,0.2676240164284135,448,0.0005973750366705658,alr4921,Q8YML2,WP_010999047,,,,,,mRNA interferase (EC 3.1.-.-)
all4791,0.2666826570568978,1042,0.0002559334520699595,all4791,Q8YMY3,WP_010998921,,,,,,Elongation factor Ts (EF-Ts)
all5110,0.2664418409925473,2488,0.00010709077210311387,all5110,Q8YM31,WP_010999236,,,,,,All5110 protein
alr0964,0.2661335868722462,445,0.0005980530042072949,alr0964,Q8YY87,WP_010995138,,,,,,Alr0964 protein
asr1405,0.26599795931211,340,0.0007823469391532648,asr1405,Q8YX13,WP_010995577,,,,,,Asr1405 protein
all4142,0.2659484642439232,670,0.00039693800633421375,all4142,Q8YPQ0,WP_010998281,,,,,,All4142 protein
alr2558,0.2658239753371989,562,0.0004729963973971511,alr2558,Q8YU03,WP_010996714,,,,,,Alr2558 protein
asr2939,0.2658142303940952,307,0.0008658443986778345,asr2939,Q8YSZ0,WP_010997090,,,,,,Asr2939 protein
all1140,0.2654118873272725,1042,0.0002547139033850984,all1140,Q8YXS1,WP_010995313,,,,,,All1140 protein
alr2543,0.2652932207172294,784,0.00033838421009850685,alr2543,Q8YU18,WP_010996699,,,,,,Alr2543 protein
alr5055,0.2649043168381963,715,0.0003704955480254494,alr5055,Q8YM81,WP_010999181,,,,,,Alr5055 protein
alr3996,0.2648647139517344,646,0.0004100072971389077,alr3996,Q8YQ40,WP_010998136,,,,,,Alr3996 protein
alr5223,0.2648451418163826,1450,0.0001826518219423328,alr5223,Q8YLS3,WP_010999347,,,,,,Glycosyltransferase
all5089,0.2645121478117734,1537,0.00017209638764591634,all5089,Q8YM51,WP_010999215,0.0,5.0,0.0,5.0,88.95750000000001,Phosphoglucomutase/phosphomannomutase
alr3588,0.2643680395577068,2827,9.351540132922067e-05,alr3588,Q8YR62,WP_010997737,,,,,,Alr3588 protein
asl0662,0.2642867836382858,280,0.0009438813701367349,asl0662,Q8YZ25,WP_010994838,,,,,,Asl0662 protein
alr5320,0.2641030846641721,679,0.0003889588875761003,alr5320,Q8YLH8,WP_010999444,,,,,,Alr5320 protein
alr5329,0.2639714810677288,736,0.0003586569036246315,alr5329,Q8YLG9,WP_010999453,,,,,,Alr5329 protein
alr1803,0.263768059106633,943,0.00027971162153407527,alr1803,Q8YW13,WP_010995971,0.0,5.0,0.0,5.0,90.268,Gamma-tocopherol methyltransferase
alr1401,0.2636524097515091,682,0.000386587111072594,alr1401,Q8YX17,WP_010995573,,,,,,Alr1401 protein
alr2982,0.2635504720879409,1297,0.000203200055580525,alr2982,Q8YSU9,WP_010997133,0.0,5.0,0.0,5.0,87.54849999999999,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)
alr4611,0.2635324686784975,895,0.0002944496856742989,alr4611,Q8YNF5,WP_010998742,,,,,,Alr4611 protein
alr3060,0.2633666856753738,1510,0.00017441502362607536,alr3060,Q8YSM4,WP_010997211,,,,,,Alr3060 protein
alr4908,0.2632102416876388,706,0.00037281903921761866,alr4908,Q8YMM5,WP_010999034,0.0,5.0,0.0,5.0,89.74375,LexA repressor (EC 3.4.21.88)
asr2389,0.2629803968111381,283,0.0009292593526895339,asr2389,Q8YUF8,WP_010996545,,,,,,Asr2389 protein
all1762,0.2627200169482525,997,0.00026351054859403457,all1762,Q8YW54,WP_010995930,0.0,5.0,0.0,5.0,87.6855,All1762 protein
asl3851,0.2626051750720715,349,0.0007524503583726976,asl3851,Q8YQH7,WP_010997992,,,,,,Asl3851 protein
all4162,0.2624141950253868,739,0.00035509363332258026,all4162,Q8YPN1,WP_010998301,2.0,7.0,2.0,5.0,95.73525,All4162 protein
all2870,0.2622958459032685,2026,0.00012946487951790152,all2870,Q8YT56,WP_010997021,,,,,,All2870 protein
alr4610,0.2622939415144111,595,0.0004408301538057329,alr4610,Q8YNF6,WP_010998741,,,,,,Alr4610 protein
alr3296,0.2618903066519311,1138,0.0002301320796589904,alr3296,Q8YRZ6,WP_010997447,,,,,,L-threonine aldolase (EC 4.1.2.48)
alr2404,0.2617727891436044,1042,0.00025122148670211555,alr2404,Q8YUE6,WP_010996560,,,,,,2-oxoadipate dioxygenase/decarboxylase (EC 1.13.11.93) (2-hydroxyglutarate synthase)
alr4486,0.2617472734468569,841,0.00031123338103074543,alr4486,Q8YNS5,WP_010998619,,,,,,ABC transporter ATP binding subunit
alr5284,0.2614680878862519,1120,0.0002334536498984392,alr5284,Q8YLL4,WP_010999408,1.0,5.0,0.0,5.0,93.43625,Long-chain acyl-[acyl-carrier-protein] reductase (AAR) (EC 1.2.1.80)
all5097,0.2613318877691701,802,0.00032585023412614727,all5097,Q8YM43,WP_010999223,,,,,,All5097 protein
alr3681,0.2613031211450898,1516,0.00017236353637538904,alr3681,Q8YQX9,WP_010997825,,,,,,Trigger factor (TF) (EC 5.2.1.8) (PPIase)
all4424,0.2611678445068151,994,0.0002627443103690293,all4424,Q8YNY5,WP_010998559,,,,,,All4424 protein
alr1965,0.2611067321962366,745,0.00035047883516273366,alr1965,Q8YVL0,WP_010996129,0.0,5.0,0.0,5.0,90.37425,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)
alr3905,0.2611042499875632,634,0.0004118363564472606,alr3905,Q8YQC8,WP_010998046,,,,,,Alr3905 protein
alr1551,0.2609529766706943,1915,0.0001362678729350884,alr1551,Q8YWQ3,WP_010995720,,,,,,histidine kinase (EC 2.7.13.3)
alr3618,0.2609464982672304,2431,0.00010734121689314289,alr3618,Q8YR34,WP_010997765,,,,,,type I site-specific deoxyribonuclease (EC 3.1.21.3)
all5267,0.2606398586157366,829,0.00031440272450631673,all5267,Q8YLN1,WP_010999391,,,,,,All5267 protein
alr4567,0.2604616843264559,706,0.00036892589847939926,alr4567,Q8YNJ8,WP_010998699,,,,,,Transcriptional regulator
alr1030,0.2604240168052534,862,0.00030211602877639604,alr1030,Q8YY22,WP_010995204,,,,,,Alr1030 protein
all1100,0.2603949708572473,1096,0.00023758665224201395,all1100,Q8YXV9,WP_010995273,,,,,,Iron(III) dicitrate-binding periplasmic protein
all5316,0.2603700706122046,1051,0.000247735557195247,all5316,Q8YLI2,WP_010999440,,,,,,All5316 protein
all5265,0.2603540920303308,2038,0.00012774979981861176,all5265,Q8YLN3,WP_010999389,1.0,10.0,5.0,5.0,94.031,DNA gyrase subunit B (EC 5.6.2.2)
alr3449,0.2601094375106726,568,0.00045793915054695883,alr3449,Q8YRJ7,WP_010997599,,,,,,Alr3449 protein
all2452,0.2600981654461389,1102,0.0002360237435990371,all2452,Q93SW9,WP_010996608,0.0,5.0,0.0,5.0,90.916,Cytochrome f
alr4178,0.2599842512843086,1249,0.00020815392416678028,alr4178,Q8YPL6,WP_010998317,0.0,5.0,0.0,5.0,89.28475,Alr4178 protein
all3927,0.2595207992616073,2692,9.640445737801164e-05,all3927,Q8YQA6,WP_010998068,,,,,,All3927 protein
asr2504,0.2594803663842199,322,0.0008058396471559624,asr2504,Q8YU52,WP_010996660,,,,,,Asr2504 protein
alr5214,0.2594090248749983,1192,0.00021762502086828715,alr5214,Q8YLT2,WP_010999338,,,,,,Alr5214 protein
alr5242,0.2589024631492184,934,0.0002771974980184351,alr5242,Q8YLQ4,WP_010999366,,,,,,Alr5242 protein
alr5238,0.258859081649613,1249,0.00020725306777390955,alr5238,Q8YLQ8,WP_010999362,,,,,,Glycosyltransferase
asr1592,0.2586900532188774,394,0.0006565737391342066,asr1592,Q8YWL3,WP_010995761,,,,,,Small ribosomal subunit protein bS20 (30S ribosomal protein S20)
alr1073,0.2584106501144446,2983,8.662777409133241e-05,alr1073,Q8YXY3,WP_010995247,0.0,5.0,0.0,5.0,88.84325000000001,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
alr3644,0.2579337649984154,1921,0.000134270570014792,alr3644,Q8YR14,WP_010997788,0.0,5.0,0.0,5.0,87.3195,Aspartokinase (EC 2.7.2.4) (Aspartate kinase)
alr2076,0.2578860475842601,1720,0.00014993374859550006,alr2076,Q8YVA5,WP_010996234,,,,,,Alr2076 protein
alr5330,0.2578080665518473,904,0.0002851859143272647,alr5330,Q8YLG8,WP_010999454,,,,,,Alr5330 protein
alr3663,0.2577756235371134,1150,0.00022415271611922905,alr3663,Q8YQZ7,WP_010997807,,,,,,Alr3663 protein
alr4949,0.2574030533398523,1459,0.00017642429975315443,alr4949,Q8YMI4,WP_010999075,,,,,,Serine/threonine kinase
alr3228,0.2564856337349669,841,0.0003049769723364648,alr3228,Q8YS63,WP_010997379,,,,,,Alr3228 protein
asl1962,0.2562477835768785,397,0.0006454604120324396,asl1962,Q8YVL3,WP_010996126,0.0,5.0,0.0,5.0,89.03075000000001,Asl1962 protein
all3487,0.2560231614307069,868,0.0002949575592519665,all3487,Q8YRG1,WP_010997637,,,,,,All3487 protein
alr3431,0.2554071573955518,2083,0.00012261505395849822,alr3431,Q8YRL5,WP_010997581,,,,,,Amine oxidase (EC 1.4.3.-)
alr0681,0.2550742088615058,448,0.0005693620733515754,alr0681,Q8YZ07,WP_010994857,,,,,,Alr0681 protein
alr5328,0.2548999265320626,472,0.0005400422172289462,alr5328,Q8YLH0,WP_010999452,,,,,,Two-component response regulator
all0253,0.2544273968685912,739,0.00034428605800891914,all0253,Q8Z049,WP_010994430,,,,,,All0253 protein
alr1254,0.2538666110803234,3034,8.367389949911779e-05,alr1254,Q8YXF9,WP_010995426,,,,,,DNA polymerase I (EC 2.7.7.7)
all3673,0.2536978119188589,691,0.00036714589279140215,all3673,Q8YQY7,WP_010997817,,,,,,All3673 protein
alr3020,0.2533716031192752,1093,0.00023181299461964795,alr3020,Q8YSR4,WP_010997171,,,,,,Alr3020 protein
asr3457,0.2532941909510369,394,0.0006428786572361343,asr3457,Q8YRI9,WP_010997607,,,,,,Cell division topological specificity factor
asl2630,0.2532922911377399,337,0.0007516091725155486,asl2630,Q8YTT3,WP_010996786,,,,,,Large ribosomal subunit protein bL28 (50S ribosomal protein L28)
all2586,0.2532367438902573,1132,0.00022370737092778913,all2586,Q8YTX7,WP_010996742,,,,,,Iron(III) dicitrate transport system permease protein
alr3422,0.2532030687819752,583,0.0004343105811011581,alr3422,Q93SX1,WP_010997572,2.0,8.0,3.0,5.0,97.34375,Cytochrome b6-f complex subunit 4 (17 kDa polypeptide)
all2034,0.2531847553653956,1477,0.00017141825007812835,all2034,Q8YVE4,WP_010996195,,,,,,All2034 protein
all2941,0.2525488815404421,1819,0.00013883940711404184,all2941,Q8YSY8,WP_010997092,,,,,,All2941 protein
all4453,0.2524226777317571,661,0.0003818799965684676,all4453,Q8YNV8,WP_010998586,,,,,,All4453 protein
alr2771,0.2520165172206499,1792,0.00014063421719902338,alr2771,Q8YTE6,WP_010996924,3.0,11.0,5.0,6.0,91.71675,Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)
all2342,0.2519124945487996,877,0.0002872434373418468,all2342,Q8YUK4,WP_010996498,0.0,5.0,0.0,5.0,89.54125,All2342 protein
alr3547,0.2518635466364747,1477,0.00017052372825759966,alr3547,Q8YRA1,WP_010997697,,,,,,histidine kinase (EC 2.7.13.3)
all0323,0.2514153075833871,5527,4.54885665973199e-05,all0323,Q8YZY1,WP_010994499,,,,,,histidine kinase (EC 2.7.13.3)
alr3620,0.2514145847656044,1555,0.00016168140499395783,alr3620,Q8YR33,WP_010997766,,,,,,site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)
alr3297,0.2510871230483903,730,0.00034395496307998674,alr3297,Q8YRZ5,WP_010997448,,,,,,Alr3297 protein
asr1005,0.2509370817470237,343,0.0007315949905161042,asr1005,Q8YY47,WP_010995179,,,,,,Asr1005 protein
all2466,0.2506147957544778,955,0.0002624238698999768,all2466,Q8YU88,WP_010996622,,,,,,All2466 protein
all3197,0.2505387338476315,661,0.00037902985453499465,all3197,Q8YS94,WP_010997348,,,,,,All3197 protein
all4396,0.2505248137260307,2257,0.0001109990313363007,all4396,Q8YP11,WP_010998533,1.0,5.0,0.0,5.0,94.91625,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)
all1950,0.2504981797498415,1261,0.0001986504201029671,all1950,Q9L3S5,WP_010996114,,,,,,Permease protein of ABC transporter (Putative membrane protein)
asl2437,0.2504428508973433,295,0.0008489588166011638,asl2437,Q8YUB5,WP_010996593,,,,,,Asl2437 protein
asr1558,0.2503482631914162,307,0.0008154666553466325,asr1558,Q8YWP6,WP_010995727,,,,,,Asr1558 protein
alr3912,0.2502541837257774,985,0.0002540651611429212,alr3912,Q8YQC1,WP_010998053,,,,,,Probable aspartoacylase (EC 3.5.1.15)
all1541,0.2502024566207786,856,0.0002922925895102554,all1541,Q8YWR3,WP_010995710,,,,,,Peroxiredoxin 2 family protein/glutaredoxin
all2292,0.2500877096048016,1279,0.0001955337838974211,all2292,Q8YUP3,WP_010996449,,,,,,All2292 protein
all2089,0.2498491851758759,583,0.00042855777903237716,all2089,Q8YV92,WP_010996247,,,,,,All2089 protein
alr0230,0.2494666908886727,1708,0.00014605778155074516,alr0230,Q8Z071,WP_010994407,,,,,,Alr0230 protein
alr0055,0.2493814715271286,1744,0.00014299396303161043,alr0055,Q8Z0N6,WP_010994232,,,,,,Alr0055 protein
all1220,0.2493280196352504,1084,0.00023000739818750037,all1220,Q8YXJ3,WP_010995392,,,,,,All1220 protein
all4844,0.2489162443568463,688,0.0003617968667977417,all4844,Q8YMT5,WP_010998972,,,,,,All4844 protein
all3735,0.2488182407661169,1183,0.00021032818323424928,all3735,Q8YQT4,WP_010997876,1.0,7.0,2.0,5.0,92.33075,fructose-bisphosphate aldolase (EC 4.1.2.13)
alr4684,0.2486277208678463,871,0.000285450885037711,alr4684,Q8YN86,WP_010998815,,,,,,Alr4684 protein
all1034,0.2482544862668249,472,0.0005259628946331035,all1034,Q8YY18,WP_010995208,,,,,,All1034 protein
asl4565,0.2479366690537565,379,0.0006541864618832625,asl4565,Q8YNK0,WP_010998697,,,,,,Asl4565 protein
all5026,0.2478454507652762,1582,0.00015666589808171694,all5026,Q8YMA8,WP_010999152,,,,,,All5026 protein
alr5150,0.2475601973747098,778,0.00031820076783381724,alr5150,Q8YLZ2,WP_010999276,,,,,,Two-component response regulator
asr3796,0.2472987039653012,259,0.0009548212508312788,asr3796,Q8YQM4,WP_010997937,,,,,,Stress induced hydrophobic peptide
all0924,0.2471807341175678,538,0.00045944374371295133,all0924,Q8YYC6,WP_010995098,,,,,,All0924 protein
alr0181,0.2470027543837661,1531,0.00016133426151780934,alr0181,Q8Z0B7,WP_010994358,,,,,,Alr0181 protein
all2919,0.2467293876488543,469,0.000526075453409071,all2919,Q8YT08,WP_010997070,0.0,5.0,0.0,5.0,90.77875,Ferredoxin
asr1945,0.2463451972833158,322,0.0007650471965320367,asr1945,Q8YVM9,WP_010996109,,,,,,Asr1945 protein
asl2551,0.2462466861696223,364,0.00067650188508138,asl2551,Q8YU10,WP_010996707,1.0,5.0,0.0,5.0,94.20575,Transcriptional regulator
asl1496,0.2461366651173063,310,0.0007939892423138913,asl1496,Q8YWU8,WP_010995666,,,,,,Asl1496 protein
all2770,0.2459785689580986,1339,0.00018370318816885632,all2770,Q8YTE7,WP_010996923,,,,,,Dolichyl-phosphate-mannose synthase
all1724,0.2456331583017262,1504,0.00016331991908359454,all1724,Q8YW91,WP_010995893,,,,,,All1724 protein
alr1788,0.2455808957245411,1612,0.00015234546881175005,alr1788,Q8YW28,WP_010995956,,,,,,Alr1788 protein
all1321,0.2449701262309158,622,0.00039384264667349805,all1321,Q8YX94,WP_010995493,,,,,,All1321 protein
alr0331,0.2448637962895975,2386,0.00010262522895624372,alr0331,Q8YZX4,WP_010994507,0.0,5.0,0.0,5.0,87.8575,Alr0331 protein
all4389,0.2448599650122236,1108,0.00022099274820597798,all4389,Q05067,WP_010998526,,,,,,Uncharacterized ABC transporter ATP-binding protein all4389
alr1166,0.2448382434607393,640,0.0003825597554074051,alr1166,Q8YXP6,WP_010995339,,,,,,Alr1166 protein
alr1977,0.2447576879356557,646,0.00037888186986943605,alr1977,Q8YVK0,WP_010996139,,,,,,Alr1977 protein
alr1906,0.2447561111338077,2518,9.720258583550743e-05,alr1906,Q8YVR8,WP_010996070,,,,,,Alr1906 protein
all4636,0.24474585851945,1306,0.00018740111678365237,all4636,Q8YND0,WP_010998767,,,,,,histidine kinase (EC 2.7.13.3)
alr3339,0.2447004671649387,1408,0.00017379294542964398,alr3339,Q8YRV3,WP_010997490,,,,,,Dihydroorotase
all3205,0.2445266191105774,1543,0.00015847480175669307,all3205,Q8YS86,WP_010997356,0.0,5.0,0.0,5.0,88.1435,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
alr5154,0.2443789393712217,2359,0.00010359429392591,alr5154,P58576,WP_010999280,3.0,10.0,5.0,5.0,96.90825,Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)
all4709,0.2438174542957838,544,0.0004481938498084261,all4709,Q8YN61,WP_010998840,,,,,,All4709 protein
alr2359,0.2437388114984504,508,0.00047980081003631966,alr2359,Q8YUI7,WP_010996515,,,,,,Alr2359 protein
all2533,0.243636439173398,2170,0.00011227485676193457,all2533,Q8YU28,WP_010996689,,,,,,prolyl oligopeptidase (EC 3.4.21.26)
alr4046,0.2436240727052256,1108,0.00021987732193612418,alr4046,Q8YPZ4,WP_010998186,,,,,,Alr4046 protein
alr5226,0.2435182663463077,1024,0.0002378108069788161,alr5226,Q8YLS0,WP_010999350,,,,,,Alr5226 protein
all1981,0.243330356518929,1078,0.00022572389287470223,all1981,Q8YVJ6,WP_010996143,,,,,,All1981 protein
alr4347,0.243322443004208,1648,0.00014764711347342718,alr4347,Q8YP53,WP_010998484,,,,,,Alr4347 protein
alr3645,0.2432570415240252,445,0.0005466450371326408,alr3645,Q8YR13,WP_010997789,,,,,,Alr3645 protein
all4771,0.2432507959874269,733,0.0003318564747441022,all4771,Q8YN02,WP_010998901,,,,,,KHG-KDPG bifunctional aldolase
asr4313,0.2431946377570938,343,0.000709022267513393,asr4313,Q8YP86,WP_010998451,0.0,5.0,0.0,5.0,90.113,Asr4313 protein
asl0491,0.2430309410375327,358,0.000678857377199812,asl0491,Q8YZG9,WP_010994667,,,,,,Asl0491 protein
alr2123,0.2425578518981444,1483,0.00016355890215653704,alr2123,Q8YV58,WP_010996281,,,,,,histidine kinase (EC 2.7.13.3)
alr5028,0.2425398512358998,991,0.00024474253404228034,alr5028,Q8YMA6,WP_010999154,,,,,,Alr5028 protein
all4049,0.2422654253778095,646,0.00037502387829382275,all4049,Q8YPZ1,WP_010998189,,,,,,All4049 protein
all4185,0.2422325186959421,1201,0.00020169235528388183,all4185,Q8YPK9,WP_010998324,1.0,10.0,5.0,5.0,92.1075,Peptide chain release factor 1 (RF-1)
all2245,0.2420753890700454,784,0.0003087696289158742,all2245,Q8YUT6,WP_010996403,,,,,,All2245 protein
alr4086,0.242047909904937,592,0.00040886471267725846,alr4086,Q8YPV4,WP_010998226,,,,,,Alr4086 protein
all1985,0.2419260971779973,985,0.0002456102509421292,all1985,Q8YVJ2,WP_010996147,2.0,11.0,6.0,5.0,94.319,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
asr0785,0.2418754751117363,283,0.0008546836576386441,asr0785,Q8YYR1,WP_010994959,,,,,,Asr0785 protein
asl4195,0.2417703494672128,325,0.000743908767591424,asl4195,Q8YPJ9,WP_006276978,3.0,10.0,5.0,5.0,100.0,Translation initiation factor IF-1
asl4195,0.2417703494672128,325,0.000743908767591424,asl4195,Q8YPJ9,WP_006276978,3.0,10.0,5.0,5.0,100.0,Translation initiation factor IF-1
all4430,0.2415640042157496,1423,0.00016975685468429346,all4430,Q8YNX9,WP_010998565,,,,,,All4430 protein
all1268,0.2409676687063075,496,0.0004858219127143297,all1268,Q8YXE5,WP_010995440,,,,,,All1268 protein
alr1584,0.2406322567516232,2053,0.0001172100617397093,alr1584,Q8YWM1,WP_010995753,,,,,,Alr1584 protein
alr2938,0.2404306145217648,703,0.0003420065640423397,alr2938,Q8YSZ1,WP_010997089,1.0,5.0,0.0,5.0,90.6675,Superoxide dismutase [Fe] (EC 1.15.1.1)
alr4939,0.2402386265378751,541,0.0004440640046910815,alr4939,Q8YMJ4,WP_010999065,,,,,,Alr4939 protein
all4387,0.2399976421257985,937,0.0002561340897820688,all4387,Q8YP15,WP_010998524,,,,,,All4387 protein
alr4230,0.2398900095932691,631,0.00038017434166920616,alr4230,Q8YPG4,WP_010998368,,,,,,Alr4230 protein
alr1581,0.2397942291114407,490,0.0004893759777784503,alr1581,Q8YWM4,WP_010995750,,,,,,Alr1581 protein
